AT4G02770	-0.38	-0.24	0.05	0.28
AT1G30380	-0.61	-0.50	0.02	0.38
AT5G64040	-0.56	-0.46	-0.21	0.44
AT5G01600	0.03	0.03	0.05	-0.13
AT1G55670	-0.25	-0.24	0.06	0.23
AT1G31330	-0.30	-0.25	0.07	0.25
AT2G26670	0.07	0.05	-0.05	-0.09
AT4G12800	-0.33	-0.14	0.06	0.22
AT1G74470	-0.17	-0.10	0.00	0.18
AT4G10340	-0.54	-0.33	0.02	0.34
AT3G56940	-0.37	-0.26	0.07	0.27
AT5G54270	-1.06	-0.35	0.17	0.30
AT1G67740	-0.29	-0.14	0.08	0.19
AT1G03130	-0.29	-0.21	0.03	0.26
AT1G15820	-0.66	-0.43	0.03	0.37
AT2G20260	-0.15	-0.04	-0.04	0.16
AT3G21055	-0.48	-0.31	0.05	0.32
AT1G52230	-0.89	-0.41	0.16	0.31
AT1G44575	-0.63	-0.27	0.15	0.26
AT5G13630	-0.53	-0.28	0.18	0.22
AT5G47110	-0.09	-0.05	-0.05	0.15
AT1G43670	-0.20	-0.16	-0.09	0.27
AT4G09650	-0.35	-0.25	0.16	0.19
AT2G06520	-0.36	-0.19	0.07	0.24
AT2G30570	-0.50	-0.24	0.04	0.30
AT1G20020	-0.88	-0.62	-0.09	0.45
AT1G54130	0.00	0.01	0.01	-0.02
AT5G23120	-0.23	-0.21	-0.06	0.29
AT4G18480	-0.35	-0.23	0.04	0.27
AT4G22890	-0.68	-0.56	-0.02	0.41
AT1G08520	-0.05	-0.05	-0.01	0.09
AT2G34430	-1.43	-1.73	-0.52	0.56
AT3G02780	0.05	0.02	-0.05	-0.03
AT4G28750	-0.60	-0.31	0.11	0.29
AT4G27440	0.11	-0.06	-0.10	0.01
AT1G76450	-0.17	-0.19	0.00	0.22
AT3G54050	-0.64	-0.47	0.09	0.34
AT4G11960	-0.22	-0.03	0.00	0.16
AT4G04040	-0.01	-0.02	0.02	0.01
AT3G55330	-0.35	-0.22	0.08	0.25
AT4G27600	-0.07	-0.07	0.02	0.10
